Fixed_asset,Current_assets,Liabilities,Net_turnover,Personal_expenses,Amortisation
238.849,221.645,222.713,361.913,58.564,26.011
31.787,21.056,24.345,45.022,6.822,3.052
44.741,20.084,31.811,24.668,3.83,2.22
86.556,64.779,68.522,106.456,21.744,8.622
6.268,3.725,6.655,6.184,0.486,0.529
62.501,58.737,58.507,94.923,15.498,4.646
50.562,48.739,59.238,120.425,10.1,7.102
10.885,8.524,9.757,16.66,2.384,1.094
68.766,55.656,50.985,88.132,20.163,6.252
40.751,37.625,40.478,92.279,11.446,4.862
4.674,4.722,4.471,15.037,1.252,0.442
3.42,3.213,3.98,5.162,0.619,0.205
43.911,28.565,16.333,62.843,18.058,3.512
4.887,3.573,3.53,8.762,1.68,0.466
7.324,4.277,4.548,5.08,1.601,0.367
3.495,1.905,2.358,2.876,0.427,0.213
0.507,1.03,0.731,5.333,1.23,0.205
2.225,4.056,4.066,11.883,2.143,0.19
0.264,0.159,0.15,0.471,0.107,0.037
6.374,3.232,4.231,10.256,2.728,0.703
3.771,2.599,4.2,3.994,1.262,0.25
2.587,0.749,1.404,5.322,2.162,0.381
5.896,4.86,5.685,10.018,1.685,0.86
14.329,8.504,10.163,11.667,2.101,1.112
30.188,19.221,24.415,37.068,4.176,2.708
0.219,0.314,0.257,0.552,0.154,0.033
0.325,0.206,0.027,0.711,0.195,0.089
0.533,0.493,0.547,1.304,0.328,0.045
67.24,86.238,96.872,249.71,27.648,6.154
61.818,75.633,101.322,235.387,28.149,7.977
31.586,41.204,44.069,92.145,9.188,2.37
0.431,0.468,0.565,1.232,0.172,0.051
6.959,7.848,8.216,15.908,2.126,0.597
12.708,21.512,14.812,46.736,3.647,1.62
65.39,84.864,88.426,139.488,14.97,4.7
0.808,0.805,0.858,1.506,0.187,0.101
6.46,27.996,19.955,48.321,2.428,0.819
0.305,0.867,0.944,2.975,0.24,0.034
93.889,63.85,83.007,223.22,19.091,9.998
4.423,3.344,1.926,7.65,0.906,0.339
30.212,45.331,42.563,86.329,9.716,1.983
8.749,11.532,12.504,28.866,1.492,1.6
23.25,54.012,46.006,136.502,10.093,2.749
15.211,11.135,11.449,42.053,3.146,1.369
37.113,23.104,31.286,103.698,24.107,3.914
12.715,9.724,6.387,29.843,4.93,1.417
22.024,24.285,22.85,49.971,3.316,2.103
37.108,51.921,53.655,128.844,13.736,4.348
7.553,11.309,9.625,23.265,2.48,0.948
4.08,5.903,4.148,14.192,1.598,0.5
5.229,7.601,7.162,17.451,2.417,0.443
1.516,1.122,1.312,4.568,0.325,0.131
14.299,18.953,15.727,42.5,6.339,2.024
11.771,25.026,17.843,68.181,4.239,1.075
0.933,1.358,0.44,5.383,0.432,0.129
48.678,56.771,52.403,61.305,7.663,3.449
0.013,0.016,0.028,0.009,0.002,0.002
0.418,0.934,0.991,0.144,0.034,0.009
19.125,60.331,40.898,93.586,8.541,3.68
6.073,4.06,7.457,4.527,0.179,0.174
47.395,50.186,31.775,110.328,14.816,6.816
49.301,75.789,96.254,241.535,10.112,3.557
5.385,3.248,5.342,7.812,1.635,0.676
3.824,2.695,5.182,5.867,0.608,0.507
2.58,2.513,3.882,5.867,1.204,0.364
2.68,5.906,6.867,11.839,2.896,0.521
0.06,0.068,0.092,0.156,0.057,0.008
7.76,5.735,3.884,10.177,2.368,0.712
0.262,0.352,0.413,2.187,1.934,0.052
8.924,5.003,9.5,9.446,1.589,0.638
17.203,17.177,16.12,41.517,15.611,1.672
0.668,1.14,0.729,2.174,0.556,0.066
3.47,1.509,1.832,3.055,0.77,0.144
1.345,1.302,1.223,4.543,0.529,0.123
13.654,24.563,16.385,47.522,6.839,1.665
3.052,2.177,2.256,5.41,0.803,0.304
1.213,1.333,1.633,3.258,0.908,0.153
2.679,2.364,2.849,6.678,2.267,0.324
1.298,2.223,2.293,4.774,1.26,0.106
4.458,5.661,4.633,15.298,7.06,0.552
26.754,57.459,45.548,134.193,25.661,2.721
10.479,10.112,11.227,32.244,11.647,1.172
3.979,5.836,5.749,14.104,5.776,0.481
0.279,0.49,0.513,0.934,0.166,0.023
1.326,1.737,1.347,5.391,1.35,0.125
